	density	radius_of_gyration	surface_area_to_volume_ratio	sphericity	euler_characteristic	inradius	circumradius	hydrodynamic_radius	sequence_length	avg_plddt	hull_presence	hull_presence_tryps_0010min	hull_presence_tryps_0015min	hull_presence_tryps_0020min	hull_presence_tryps_0030min	hull_presence_tryps_0040min	hull_presence_tryps_0050min	hull_presence_tryps_0060min	hull_presence_tryps_0120min	hull_presence_tryps_0180min	hull_presence_tryps_0240min	hull_presence_tryps_1440min	hull_presence_tryps_leftover	predicted_disorder_content	betti_0	betti_1	lys_arg_layer_1	lys_arg_layer_2	lys_arg_layer_3	lys_arg_layer_4	lys_arg_layer_5	lys_arg_layer_6	lys_arg_layer_7	lys_arg_layer_8	lys_arg_layer_9	lys_arg_layer_10
density	1.000	-0.742	0.633	0.282		-0.659	-0.739	-0.715	-0.308	0.749	-0.163	0.180	-0.096	-0.144	-0.098	0.089	-0.062	0.106	0.074	0.085	0.083	0.173	-0.014	-0.504	-0.308	-0.031	-0.427	-0.171	-0.093	-0.132	-0.213	-0.344	-0.139	-0.149	-0.264	-0.126
radius_of_gyration	-0.742	1.000	-0.400	-0.494		0.501	0.921	0.629	0.363	-0.503	0.364	-0.212	0.544	0.140	0.063	-0.112	-0.023	-0.060	-0.126	-0.103	-0.041	-0.177	-0.088	0.688	0.363	0.073	0.420	0.359	0.369	0.239	0.285	0.323	0.268	0.348	0.303	0.325
surface_area_to_volume_ratio	0.633	-0.400	1.000	-0.454		-0.873	-0.463	-0.917	-0.761	0.670	0.279	0.223	0.279	-0.269	-0.077	0.201	-0.115	-0.158	0.136	0.081	0.095	0.047	0.095	-0.317	-0.761	-0.588	-0.809	-0.428	-0.313	-0.459	-0.374	-0.465	-0.316	-0.296	-0.306	-0.146
sphericity	0.282	-0.494	-0.454	1.000		0.344	-0.471	0.279	0.401	-0.102	-0.590	0.101	-0.634	0.183	0.021	-0.127	0.094	0.084	-0.031	0.048	-0.068	0.041	-0.186	-0.197	0.401	0.469	0.433	0.159	0.054	0.229	0.200	0.239	0.255	0.116	0.141	-0.091
euler_characteristic					1.000																															
inradius	-0.659	0.501	-0.873	0.344		1.000	0.540	0.961	0.778	-0.684	-0.331	-0.242	-0.278	0.234	0.071	-0.151	0.068	0.029	-0.204	-0.088	-0.125	-0.132	-0.070	0.419	0.778	0.520	0.903	0.463	0.269	0.400	0.410	0.635	0.505	0.453	0.433	0.276
circumradius	-0.739	0.921	-0.463	-0.471		0.540	1.000	0.645	0.409	-0.469	0.269	-0.309	0.376	0.024	0.057	-0.084	0.016	0.023	-0.140	-0.136	-0.050	-0.072	-0.049	0.558	0.409	0.119	0.457	0.344	0.271	0.290	0.260	0.319	0.185	0.438	0.309	0.513
hydrodynamic_radius	-0.715	0.629	-0.917	0.279		0.961	0.645	1.000	0.802	-0.711	-0.232	-0.235	-0.122	0.256	0.065	-0.212	0.050	0.067	-0.211	-0.109	-0.129	-0.163	-0.118	0.532	0.802	0.537	0.899	0.513	0.378	0.453	0.397	0.605	0.460	0.425	0.401	0.267
sequence_length	-0.308	0.363	-0.761	0.401		0.778	0.409	0.802	1.000	-0.338	-0.372	-0.228	-0.185	0.328	0.079	-0.152	0.032	0.314	-0.245	-0.039	-0.093	-0.086	-0.094	0.392	1.000	0.898	0.886	0.749	0.617	0.505	0.227	0.433	0.378	0.291	0.162	0.247
avg_plddt	0.749	-0.503	0.670	-0.102		-0.684	-0.469	-0.711	-0.338	1.000	0.168	-0.155	0.185	-0.217	-0.187	0.247	0.066	-0.054	-0.031	0.104	0.143	0.216	0.133	-0.304	-0.338	-0.040	-0.485	-0.205	-0.083	-0.219	-0.423	-0.440	-0.279	-0.221	-0.383	-0.099
