	density	radius_of_gyration	surface_area_to_volume_ratio	sphericity	euler_characteristic	inradius	circumradius	hydrodynamic_radius	sequence_length	avg_plddt	hull_presence	hull_presence_tryps_0010min	hull_presence_tryps_0015min	hull_presence_tryps_0020min	hull_presence_tryps_0030min	hull_presence_tryps_0040min	hull_presence_tryps_0050min	hull_presence_tryps_0060min	hull_presence_tryps_0120min	hull_presence_tryps_0180min	hull_presence_tryps_0240min	hull_presence_tryps_1440min	hull_presence_tryps_leftover	predicted_disorder_content	betti_0	betti_1	lys_arg_layer_1	lys_arg_layer_2	lys_arg_layer_3	lys_arg_layer_4	lys_arg_layer_5	lys_arg_layer_6	lys_arg_layer_7	lys_arg_layer_8	lys_arg_layer_9	lys_arg_layer_10
density	1.000	-0.889	0.626	0.101		-0.695	-0.742	-0.740	-0.246	0.784	-0.047	0.054	0.120	0.005	-0.118	0.358	0.088	0.206	0.114	0.012	0.133	0.385	0.194	-0.514	-0.246	0.159	-0.364	-0.075	0.034	-0.070	-0.254	-0.310	-0.043	-0.162	-0.321	-0.058
radius_of_gyration	-0.889	1.000	-0.568	-0.159		0.679	0.841	0.723	0.323	-0.692	0.092	-0.088	0.000	0.143	0.223	-0.300	-0.056	-0.100	-0.199	-0.035	-0.080	-0.331	-0.102	0.546	0.323	-0.075	0.368	0.270	0.180	0.223	0.365	0.373	0.136	0.160	0.363	0.060
surface_area_to_volume_ratio	0.626	-0.568	1.000	-0.430		-0.929	-0.557	-0.967	-0.867	0.690	0.389	0.139	0.284	-0.196	-0.122	0.275	-0.087	-0.122	0.197	-0.014	0.098	0.128	0.178	-0.491	-0.867	-0.609	-0.926	-0.431	-0.317	-0.436	-0.370	-0.499	-0.234	-0.148	-0.352	0.033
sphericity	0.101	-0.159	-0.430	1.000		0.300	-0.292	0.293	0.479	-0.061	-0.489	0.149	-0.178	0.166	-0.049	0.035	0.160	0.005	-0.091	0.039	-0.133	0.058	-0.193	0.230	0.479	0.498	0.522	0.157	0.126	0.259	0.239	0.223	0.407	0.379	0.199	0.008
euler_characteristic					1.000																															
inradius	-0.695	0.679	-0.929	0.300		1.000	0.647	0.939	0.769	-0.729	-0.346	-0.138	-0.214	0.198	0.168	-0.244	0.078	0.090	-0.238	0.010	-0.151	-0.207	-0.145	0.481	0.769	0.490	0.848	0.399	0.183	0.361	0.380	0.559	0.244	0.195	0.390	-0.027
circumradius	-0.742	0.841	-0.557	-0.292		0.647	1.000	0.711	0.415	-0.531	0.063	-0.276	-0.127	0.055	0.097	-0.256	-0.114	0.005	-0.263	-0.103	-0.098	-0.158	-0.120	0.346	0.415	0.091	0.444	0.395	0.283	0.247	0.283	0.394	-0.029	-0.005	0.336	0.032
hydrodynamic_radius	-0.740	0.723	-0.967	0.293		0.939	0.711	1.000	0.818	-0.730	-0.317	-0.147	-0.207	0.164	0.129	-0.314	0.045	0.100	-0.241	-0.053	-0.151	-0.189	-0.175	0.570	0.818	0.509	0.870	0.430	0.328	0.432	0.382	0.500	0.202	0.156	0.358	-0.012
sequence_length	-0.246	0.323	-0.867	0.479		0.769	0.415	0.818	1.000	-0.408	-0.517	-0.252	-0.200	0.210	0.096	-0.156	0.094	0.344	-0.237	-0.059	-0.062	0.058	-0.075	0.399	1.000	0.885	0.954	0.558	0.514	0.595	0.364	0.454	0.281	0.127	0.275	0.024
avg_plddt	0.784	-0.692	0.690	-0.061		-0.729	-0.531	-0.730	-0.408	1.000	0.218	-0.169	0.140	-0.118	-0.242	0.362	0.072	-0.100	-0.006	-0.018	0.169	0.329	0.074	-0.368	-0.408	-0.078	-0.511	-0.163	-0.031	-0.204	-0.380	-0.324	-0.108	-0.102	-0.336	-0.003
