sequence_length	density	radius_of_gyration	sphericity	surface_area_to_volume_ratio	euler_characteristic	inradius	circumradius	hydrodynamic_radius	Predicted_Disorder_Content_DT	Predicted_Disorder_Content_RF	Predicted_Disorder_Content_GB
411	0.822039587793094	15.659205511413342	0.9149007440155776	0.1717947594632875	-166	15.17647	30.687906	19.08698632035261	0.0533333333333333	0.1169110524221383	0.08816500312572864
3927	0.3812456485556323	36.37208363619832	0.9045361874721182	0.0636036029586588	-253	46.0401	76.13199	52.14511032476527	0.030378723912986495	0.035490436795998476	0.03643066548974237
789	0.1932464963657615	33.28848192705652	0.8770276783130304	0.0904454315193338	-238	26.401678	62.63685	37.81998219043769	0.5920792079207926	0.3794378188214957	0.2522801777570691
1929	0.2876122120331705	31.732633584739432	0.8602832113099875	0.0766760367957348	-193	34.237377	85.986435	45.47996795373264	0.214428857715431	0.1507747438271905	0.2324427043984068
654	0.3702307168337986	27.118293888166768	0.8125401024109558	0.1273400404444202	-163	22.258766	65.63285	28.994222460385156	0.0878378378378378	0.10133559941844314	0.10940351062340477
1017	0.2336515714411958	40.62274770536929	0.8202569588696849	0.0916966631462531	-172	34.28185	94.650635	39.88575334831013	0.5920792079207926	0.24179666559628052	0.14271866095534538
5604	0.2725029662166912	51.49949036867242	0.9273549119035532	0.0493396142040071	-325	54.110573	85.72292	65.56612672322494	0.0678056593699947	0.20274517161051234	0.09477028803252632
810	0.6707249291296328	20.170953626564728	0.8950169226441692	0.1320442819000865	-166	21.405806	44.58431	25.38460493340797	0.15587363550928948	0.14663396102123524	0.06644897926786919
1440	0.4979362785126094	25.06573816346515	0.9008537129919204	0.0966371113538348	-193	27.196299	50.729786	34.4606164562492	0.0894117647058824	0.0806507008551575	0.056032543926580206
528	0.2212740500812009	38.06937432640237	0.7593360254674951	0.1239332319107082	-160	28.477825	80.904	31.87861719454545	0.5920792079207926	0.2764920513296434	0.22419141514016627
2205	0.5640947583096095	31.9170292643037	0.8558142476768502	0.0927515127420225	-244	27.06878	73.83678	37.793815690703525	0.05419652906538829	0.05675313147166615	0.05768572021181065
1026	0.9219382282768872	18.92248078323599	0.9438001932078484	0.1285745852853595	-217	20.640854	32.75458	24.722139951013247	0.0824053452115813	0.13011588995347645	0.11874229991833224
2193	0.1864186544983319	39.10729505686573	0.9318051356173658	0.0586762410774048	-271	44.03648	72.62256	54.869862356298846	0.01868706568756265	0.1616633811253124	0.07720356967809713
1656	0.2343763197652059	35.53447909512503	0.868258107185583	0.0760690273623137	-244	34.770298	73.41219	45.42182129441211	0.3651094759290725	0.19349626731882227	0.10028998074778062
2619	0.2157056061393262	39.12665418622583	0.8983024142429569	0.0606353302908198	-250	50.019474	85.104965	55.077337810007705	0.24867047901419645	0.16275017905131897	0.16330000603343647
459	0.9309482098037004	16.130481957266543	0.8959381668431359	0.1761731553964045	-163	15.467707	29.719599	19.006558377921863	0.15587363550928948	0.1371461305591917	0.08796896468180286
2736	0.1791556716324676	38.435283183516766	0.9309531653778436	0.0542279005086812	-223	54.794678	77.91257	59.42519714638679	0.01868706568756265	0.10095689416324316	0.05751628452265816
4200	0.1217067640105579	57.83776998774026	0.9611130819937472	0.0400077129125938	-346	71.47081	97.724884	78.01947812565997	0.012696894951298535	0.1026887329069541	0.0013584378736991468
1005	0.4880074494260491	32.775850303464175	0.8284267844543337	0.1189313625722365	-232	23.723013	65.797295	30.448838327951087	0.05419652906538829	0.09135647572449516	0.045503622514544914
2445	0.3117510864218532	33.497007573983375	0.9208667953905918	0.0687600193600467	-244	37.66958	68.72145	47.37927937671888	0.213545816733068	0.08765198370274192	0.039898727382499236
1320	0.1044001882402691	44.45097207800082	0.9293090537985202	0.0590585123776802	-223	43.750565	75.585785	54.66112717407143	0.420096852300242	0.36080732142208366	0.46702129526294656
597	0.2664898560773528	35.88177703313632	0.7493425597352668	0.128451998527737	-145	26.010067	63.825	31.167358003619974	0.0	0.20757029347699413	0.12207224167898421
633	0.6915048525489279	18.123919895118828	0.8942098273620637	0.1448975262233529	-136	16.629362	45.026955	23.153723638160617	0.15587363550928948	0.1403223363479906	0.0904563802809914
3696	0.1745560537936951	64.0118598951043	0.8208120116256267	0.054909056218107	-274	58.09706	158.65305	66.56310499101524	0.24867047901419645	0.10771472113887287	0.07789972740073355
318	0.2573660978438195	41.00402286544082	0.6480177688140696	0.1781703941693914	-142	27.656307	78.10381	25.983568738091087	0.0370970527737215	0.23914653993117	0.19937102439880694
1563	0.4365741602576319	32.90674139880873	0.8235504824287969	0.0996659483353176	-211	26.116709	79.38606	36.54973439422319	0.05419652906538829	0.0792302621298059	0.11699699999088614
1644	0.2490758760346096	34.37024496911423	0.8547525229945224	0.0782130053188824	-202	38.9065	79.6046	44.8747342252725	0.3651094759290725	0.23683170416084398	0.21606675354438973
924	0.1514768584623318	40.687915647480494	0.8546945844850101	0.0806352240133679	-220	36.976685	79.64155	43.52968312585588	0.5920792079207926	0.4498529842888947	0.36113267701580176
1434	0.5659604086454533	25.30181870198482	0.9136508906875582	0.1002946433639502	-199	26.808714	45.881706	32.73883599819384	0.05419652906538829	0.08940378079504596	0.02861163222818908
585	0.1271070482078549	42.98230739913315	0.781105693833612	0.0998953976076487	-178	28.955563	84.678795	38.44731105423956	0.5920792079207926	0.46151454679960663	0.45116148126697075
2262	0.0933416338360268	52.65284407410455	0.9441208670796918	0.0450808358532955	-271	63.083115	92.88792	70.48581056417021	0.0052910052910052	0.21182233746257675	0.36046204270402643
2316	0.4214489221779465	31.80309618331367	0.8864515851740875	0.0803188838117113	-205	30.215157	76.20441	42.13554050103581	0.13214773913137526	0.06251388493050213	0.08155832826154223
3198	0.1455190168850724	53.00148953177595	0.914972402643138	0.0488058702607931	-292	54.402737	100.411705	67.18018547210205	0.03806594448774644	0.13616598764887414	0.1557080689938003
615	0.1901701939125705	84.81526378258361	0.5677894178684452	0.1478956602032478	-151	14.524439	142.38077	35.725517641776726	0.171339563862928	0.28481894852075185	0.25771643256693283
891	0.8426748156086404	18.993292129763844	0.9222695353186222	0.1332989510278889	-190	19.521423	36.366314	24.40263138780145	0.451851851851852	0.19884461484149563	0.25403749209710574
1395	0.1341908371188874	47.25223430853279	0.8764446558692353	0.0662349890053943	-265	41.526154	82.90327	51.67842734154854	1.0	0.3547377876381463	0.4521749757246095
1626	0.2773189274691938	33.51025613039447	0.8471108990718237	0.0822205808932785	-187	28.714949	83.659515	43.07253617940344	0.18013856812933	0.20092611065389138	0.18242389703459222
2277	0.0747621358687328	59.50826822922103	0.931855670791916	0.0429683421341328	-298	65.3963	101.63484	74.92452612309499	0.138646288209607	0.38546761424725434	0.5448183479779485
3387	0.2056394281804051	43.49317893352115	0.9160524274533396	0.0537632418052613	-241	53.083435	81.90712	60.913769696617535	0.24867047901419645	0.20550224791317404	0.1801121417949645
846	0.2833266439666779	29.992352577928173	0.7937420534383949	0.1097679965102097	-163	28.019281	69.81668	34.43230739394797	0.109677419354839	0.2056387955261967	0.19495699062738292
1083	0.1693296165005302	40.70700657701497	0.8881526682002495	0.0753928067059819	-193	37.37978	74.80082	44.80265164093117	0.22252010723860602	0.34610078232721153	0.26255370881260054
3786	0.4698762724154517	46.88014120492855	0.8429691109065641	0.0735618264090313	-319	38.13062	97.14996	48.37902262378525	0.030378723912986495	0.035674855176049916	0.03386796849988078
2538	0.1522115461067824	43.46391999458761	0.937927771312148	0.0519622918809299	-331	54.698864	87.50148	61.55503200641631	0.0329436769394261	0.2015094066744954	0.21214223918947311
2694	0.5540940655109695	33.94852122612485	0.9149988328700486	0.080317097791662	-271	32.55318	61.075035	40.821852343787135	0.06344957852893915	0.05289855603234073	0.06587213015092598
1917	0.3421033660250241	35.47253519843269	0.921516999245614	0.0766889458370195	-265	39.29811	58.446888	42.450727330003126	0.0373831775700935	0.14627730297600042	0.14035705821908323
2706	0.291152230261443	47.16268901115825	0.769267490771343	0.0770591130279716	-202	41.27336	129.94165	50.60808095806976	0.106060606060606	0.1056888271756599	0.10098077698389611
384	0.3906698988458842	26.25354824815856	0.7199106671451908	0.1785059661812888	-118	13.853675	63.36652	23.34478668978729	0.14318570271881165	0.3247261963870194	0.29137189409011355
303	0.5734207848053566	16.704864399957057	0.8097204766454181	0.1900989346030216	-88	12.745035	42.145863	19.48975814013606	0.15587363550928948	0.14144636713973174	0.08251698331959327
1116	0.1223835650535505	38.456833440436256	0.8938102182849195	0.0685515729031421	-226	35.40516	73.651695	48.96192849901336	0.1264222814510736	0.1440923533880502	0.1354276521913709
1593	0.184200175554195	39.44384683625198	0.8951836145714811	0.0689371416046606	-250	42.743496	71.34714	48.61338455213924	0.3651094759290725	0.23405288784875614	0.211079561075368
840	0.71125706399521	21.103135627558316	0.8815269377331306	0.1339937466149142	-139	20.374638	40.53201	25.398094575069862	0.15587363550928948	0.13915194540197842	0.07039601174505351
2391	0.1865690080186868	39.909021619236334	0.931215130050242	0.0578752041620014	-268	43.96137	75.711296	55.66454904090241	0.01868706568756265	0.16056999485249498	0.1659469824113072
1689	0.622156586570533	27.76243994190783	0.8469993834325723	0.1067274837654777	-208	25.934916	87.531845	33.18653346045205	0.05419652906538829	0.06493473793620655	0.03855939297509343
1200	0.8243973105385828	22.052968961524847	0.892578249190481	0.1250945276193462	-190	19.330952	43.59848	26.868080679030346	0.20279720279720298	0.1384175829871755	0.10377845827101742
1227	0.1908082046762659	36.03431428977333	0.8705683886453669	0.0788732965203939	-253	38.6739	68.92335	43.69063620254365	0.5920792079207926	0.25657565359572626	0.20419477175736836
4269	0.1283242920422404	54.77057113610952	0.9600088776559093	0.0406278003498148	-409	69.93008	97.06777	76.91706355601364	0.0275167785234899	0.17009967961409755	0.12470718855102729
1782	0.2588234963913211	39.93838497754522	0.8783208173367014	0.0745573904667001	-226	33.28583	82.362335	45.81180245647921	0.164383561643836	0.15771399361112537	0.12875754922730753
