sequence_length	hydrophobicity_full	density	radius_of_gyration	sphericity	surface_area_to_volume_ratio	euler_characteristic	inradius	circumradius	hydrodynamic_radius	CPI
411	(-2.53, 1.38, 42.7, 0.10389294403892944)	0.822039587793094	15.659205511413342	0.9149007440155777	0.1717947594632875	-166	15.17647	30.687906	19.086986320352615	1
3927	(-2.53, 1.38, 159.57000000000014, 0.04063407181054243)	0.3812456485556323	36.37208363619832	0.9045361874721182	0.06360360295865886	-253	46.0401	76.13199	52.14511032476527	1
789	(-2.53, 1.38, 4.020000000000035, 0.005095057034220577)	0.1932464963657615	33.288481927056516	0.8770276783130304	0.09044543151933383	-238	26.401678	62.63685	37.81998219043769	1
1929	(-2.53, 1.38, -77.01999999999992, -0.03992742353551059)	0.2876122120331705	31.732633584739432	0.8602832113099875	0.07667603679573486	-193	34.237377	85.986435	45.47996795373264	1
654	(-2.53, 1.38, 34.10000000000002, 0.05214067278287465)	0.37023071683379866	27.118293888166768	0.8125401024109558	0.12734004044442027	-163	22.258766	65.63285	28.994222460385153	1
1017	(-2.53, 1.38, 95.48000000000005, 0.09388397246804331)	0.23365157144119583	40.62274770536929	0.8202569588696849	0.09169666314625316	-172	34.28185	94.650635	39.88575334831013	1
5604	(-2.53, 1.38, -22.68999999999977, -0.004048893647394677)	0.2725029662166912	51.49949036867242	0.9273549119035531	0.0493396142040071	-325	54.110573	85.72292	65.56612672322494	1
810	(-2.53, 1.38, -21.209999999999965, -0.02618518518518514)	0.6707249291296328	20.170953626564728	0.8950169226441692	0.1320442819000865	-166	21.405806	44.58431	25.38460493340797	1
1440	(-2.53, 1.38, -19.139999999999965, -0.013291666666666643)	0.49793627851260946	25.06573816346515	0.9008537129919203	0.09663711135383486	-193	27.196299	50.729786	34.4606164562492	1
528	(-2.53, 1.38, 63.52, 0.12030303030303031)	0.22127405008120096	38.06937432640237	0.7593360254674951	0.12393323191070822	-160	28.477825	80.904	31.878617194545452	1
2205	(-2.53, 1.38, 61.81000000000007, 0.028031746031746064)	0.5640947583096095	31.9170292643037	0.8558142476768502	0.09275151274202259	-244	27.06878	73.83678	37.793815690703525	1
1026	(-2.53, 1.38, 61.51000000000004, 0.059951267056530255)	0.9219382282768871	18.92248078323599	0.9438001932078485	0.1285745852853595	-217	20.640854	32.75458	24.722139951013247	1
2193	(-2.53, 1.38, 106.17000000000007, 0.04841313269493847)	0.18641865449833192	39.10729505686573	0.9318051356173658	0.058676241077404885	-271	44.03648	72.62256	54.869862356298846	1
1656	(-2.53, 1.38, 26.32000000000005, 0.015893719806763316)	0.23437631976520593	35.53447909512503	0.868258107185583	0.07606902736231379	-244	34.770298	73.41219	45.42182129441211	1
2619	(-2.53, 1.38, -52.20999999999992, -0.01993508972890413)	0.21570560613932624	39.12665418622583	0.8983024142429569	0.060635330290819876	-250	50.019474	85.104965	55.077337810007705	1
459	(-2.53, 1.38, 25.32000000000001, 0.05516339869281048)	0.9309482098037004	16.130481957266543	0.8959381668431359	0.17617315539640455	-163	15.467707	29.719599	19.006558377921866	1
2736	(-2.53, 1.38, 89.89000000000011, 0.03285453216374273)	0.17915567163246768	38.435283183516766	0.9309531653778436	0.054227900508681204	-223	54.794678	77.91257	59.42519714638679	1
4200	(-2.53, 1.38, -260.6099999999999, -0.06204999999999997)	0.1217067640105579	57.83776998774026	0.9611130819937471	0.04000771291259381	-346	71.47081	97.724884	78.01947812565997	1
1005	(-2.53, 1.38, 105.46000000000005, 0.10493532338308463)	0.4880074494260491	32.775850303464175	0.8284267844543337	0.11893136257223658	-232	23.723013	65.797295	30.448838327951087	1
2445	(-2.53, 1.38, -54.34999999999991, -0.022229038854805688)	0.3117510864218532	33.497007573983375	0.9208667953905918	0.06876001936004672	-244	37.66958	68.72145	47.379279376718884	1
1320	(-2.53, 1.38, -292.1199999999999, -0.22130303030303022)	0.10440018824026914	44.450972078000824	0.9293090537985202	0.05905851237768026	-223	43.750565	75.585785	54.66112717407143	1
597	(-2.53, 1.38, 47.86000000000002, 0.08016750418760472)	0.2664898560773528	35.88177703313632	0.7493425597352668	0.12845199852773703	-145	26.010067	63.825	31.167358003619974	1
633	(-2.53, 1.38, 43.390000000000015, 0.06854660347551345)	0.6915048525489279	18.123919895118828	0.8942098273620637	0.14489752622335292	-136	16.629362	45.026955	23.153723638160617	1
