sequence_length	hydrophobicity_full	density	radius_of_gyration	sphericity	surface_area_to_volume_ratio	euler_characteristic	inradius	circumradius	hydrodynamic_radius
411	"(-2.53, 1.38, 42.7, 0.10389294403892944)"	0.822039588	15.65920551	0.914900744	0.171794759	-166	15.17647	30.687906	19.08698632
3927	"(-2.53, 1.38, 159.57000000000014, 0.04063407181054243)"	0.381245649	36.37208364	0.904536187	0.063603603	-253	46.0401	76.13199	52.14511032
789	"(-2.53, 1.38, 4.020000000000035, 0.005095057034220577)"	0.193246496	33.28848193	0.877027678	0.090445432	-238	26.401678	62.63685	37.81998219
1929	"(-2.53, 1.38, -77.01999999999992, -0.03992742353551059)"	0.287612212	31.73263358	0.860283211	0.076676037	-193	34.237377	85.986435	45.47996795
654	"(-2.53, 1.38, 34.10000000000002, 0.05214067278287465)"	0.370230717	27.11829389	0.812540102	0.12734004	-163	22.258766	65.63285	28.99422246
1017	"(-2.53, 1.38, 95.48000000000005, 0.09388397246804331)"	0.233651571	40.62274771	0.820256959	0.091696663	-172	34.28185	94.650635	39.88575335
5604	"(-2.53, 1.38, -22.68999999999977, -0.004048893647394677)"	0.272502966	51.49949037	0.927354912	0.049339614	-325	54.110573	85.72292	65.56612672
810	"(-2.53, 1.38, -21.209999999999965, -0.02618518518518514)"	0.670724929	20.17095363	0.895016923	0.132044282	-166	21.405806	44.58431	25.38460493
1440	"(-2.53, 1.38, -19.139999999999965, -0.013291666666666643)"	0.497936279	25.06573816	0.900853713	0.096637111	-193	27.196299	50.729786	34.46061646
528	"(-2.53, 1.38, 63.52, 0.12030303030303031)"	0.22127405	38.06937433	0.759336025	0.123933232	-160	28.477825	80.904	31.87861719
2205	"(-2.53, 1.38, 61.81000000000007, 0.028031746031746064)"	0.564094758	31.91702926	0.855814248	0.092751513	-244	27.06878	73.83678	37.79381569
1026	"(-2.53, 1.38, 61.51000000000004, 0.059951267056530255)"	0.921938228	18.92248078	0.943800193	0.128574585	-217	20.640854	32.75458	24.72213995
2193	"(-2.53, 1.38, 106.17000000000007, 0.04841313269493847)"	0.186418654	39.10729506	0.931805136	0.058676241	-271	44.03648	72.62256	54.86986236
1656	"(-2.53, 1.38, 26.32000000000005, 0.015893719806763316)"	0.23437632	35.5344791	0.868258107	0.076069027	-244	34.770298	73.41219	45.42182129
2619	"(-2.53, 1.38, -52.20999999999992, -0.01993508972890413)"	0.215705606	39.12665419	0.898302414	0.06063533	-250	50.019474	85.104965	55.07733781
459	"(-2.53, 1.38, 25.32000000000001, 0.05516339869281048)"	0.93094821	16.13048196	0.895938167	0.176173155	-163	15.467707	29.719599	19.00655838
2736	"(-2.53, 1.38, 89.89000000000011, 0.03285453216374273)"	0.179155672	38.43528318	0.930953165	0.054227901	-223	54.794678	77.91257	59.42519715
4200	"(-2.53, 1.38, -260.6099999999999, -0.06204999999999997)"	0.121706764	57.83776999	0.961113082	0.040007713	-346	71.47081	97.724884	78.01947813
1005	"(-2.53, 1.38, 105.46000000000005, 0.10493532338308463)"	0.488007449	32.7758503	0.828426784	0.118931363	-232	23.723013	65.797295	30.44883833
2445	"(-2.53, 1.38, -54.34999999999991, -0.022229038854805688)"	0.311751086	33.49700757	0.920866795	0.068760019	-244	37.66958	68.72145	47.37927938
1320	"(-2.53, 1.38, -292.1199999999999, -0.22130303030303022)"	0.104400188	44.45097208	0.929309054	0.059058512	-223	43.750565	75.585785	54.66112717
597	"(-2.53, 1.38, 47.86000000000002, 0.08016750418760472)"	0.266489856	35.88177703	0.74934256	0.128451999	-145	26.010067	63.825	31.167358
633	"(-2.53, 1.38, 43.390000000000015, 0.06854660347551345)"	0.691504853	18.1239199	0.894209827	0.144897526	-136	16.629362	45.026955	23.15372364
3696	"(-2.53, 1.38, 282.0600000000001, 0.0763149350649351)"	0.174556054	64.0118599	0.820812012	0.054909056	-274	58.09706	158.65305	66.56310499
318	"(-2.53, 1.38, 63.780000000000015, 0.2005660377358491)"	0.257366098	41.00402287	0.648017769	0.178170394	-142	27.656307	78.10381	25.98356874
1563	"(-2.53, 1.38, 159.33000000000004, 0.10193857965451059)"	0.43657416	32.9067414	0.823550482	0.099665948	-211	26.116709	79.38606	36.54973439
1644	"(-2.53, 1.38, 35.50000000000006, 0.021593673965936776)"	0.249075876	34.37024497	0.854752523	0.078213005	-202	38.9065	79.6046	44.87473423
924	"(-2.53, 1.38, 24.01000000000004, 0.025984848484848527)"	0.151476858	40.68791565	0.854694584	0.080635224	-220	36.976685	79.64155	43.52968313
1434	"(-2.53, 1.38, 123.15000000000003, 0.08587866108786613)"	0.565960409	25.3018187	0.913650891	0.100294643	-199	26.808714	45.881706	32.738836
585	"(-2.53, 1.38, 32.55000000000002, 0.055641025641025674)"	0.127107048	42.9823074	0.781105694	0.099895398	-178	28.955563	84.678795	38.44731105
2262	"(-2.53, 1.38, -225.61999999999992, -0.09974358974358971)"	0.093341634	52.65284407	0.944120867	0.045080836	-271	63.083115	92.88792	70.48581056
2316	"(-2.53, 1.38, 110.82000000000008, 0.04784974093264252)"	0.421448922	31.80309618	0.886451585	0.080318884	-205	30.215157	76.20441	42.1355405
3198	"(-2.53, 1.38, 20.690000000000097, 0.006469668542839305)"	0.145519017	53.00148953	0.914972403	0.04880587	-292	54.402737	100.411705	67.18018547
615	"(-2.53, 1.38, 105.92000000000002, 0.1722276422764228)"	0.190170194	84.81526378	0.567789418	0.14789566	-151	14.524439	142.38077	35.72551764
891	"(-2.53, 1.38, 25.860000000000035, 0.029023569023569062)"	0.842674816	18.99329213	0.922269535	0.133298951	-190	19.521423	36.366314	24.40263139
1395	"(-2.53, 1.38, 33.660000000000046, 0.02412903225806455)"	0.134190837	47.25223431	0.876444656	0.066234989	-265	41.526154	82.90327	51.67842734
1626	"(-2.53, 1.38, 4.540000000000052, 0.002792127921279245)"	0.277318927	33.51025613	0.847110899	0.082220581	-187	28.714949	83.659515	43.07253618
2277	"(-2.53, 1.38, -66.08999999999992, -0.02902503293807638)"	0.074762136	59.50826823	0.931855671	0.042968342	-298	65.3963	101.63484	74.92452612
3387	"(-2.53, 1.38, 20.520000000000106, 0.006058458813108977)"	0.205639428	43.49317893	0.916052427	0.053763242	-241	53.083435	81.90712	60.9137697
846	"(-2.53, 1.38, 25.760000000000026, 0.030449172576832183)"	0.283326644	29.99235258	0.793742053	0.109767997	-163	28.019281	69.81668	34.43230739
1083	"(-2.53, 1.38, 115.56000000000003, 0.10670360110803327)"	0.169329617	40.70700658	0.888152668	0.075392807	-193	37.37978	74.80082	44.80265164
3786	"(-2.53, 1.38, 70.79000000000015, 0.018697834125726398)"	0.469876272	46.8801412	0.842969111	0.073561826	-319	38.13062	97.14996	48.37902262
2538	"(-2.53, 1.38, -116.23999999999991, -0.04579984239558704)"	0.152211546	43.46391999	0.937927771	0.051962292	-331	54.698864	87.50148	61.55503201
2694	"(-2.53, 1.38, 141.2800000000001, 0.05244246473645141)"	0.554094066	33.94852123	0.914998833	0.080317098	-271	32.55318	61.075035	40.82185234
1917	"(-2.53, 1.38, 110.69000000000007, 0.05774126238914975)"	0.342103366	35.4725352	0.921516999	0.076688946	-265	39.29811	58.446888	42.45072733
2706	"(-2.53, 1.38, 90.92000000000007, 0.03359940872135997)"	0.29115223	47.16268901	0.769267491	0.077059113	-202	41.27336	129.94165	50.60808096
384	"(-2.53, 1.38, 58.38000000000001, 0.15203125000000003)"	0.390669899	26.25354825	0.719910667	0.178505966	-118	13.853675	63.36652	23.34478669
303	"(-2.53, 1.38, 29.670000000000005, 0.09792079207920794)"	0.573420785	16.7048644	0.809720477	0.190098935	-88	12.745035	42.145863	19.48975814
1116	"(-2.53, 1.38, 11.810000000000038, 0.010582437275985696)"	0.122383565	38.45683344	0.893810218	0.068551573	-226	35.40516	73.651695	48.9619285
1593	"(-2.53, 1.38, 122.90000000000003, 0.07715003138731955)"	0.184200176	39.44384684	0.895183615	0.068937142	-250	42.743496	71.34714	48.61338455
